job_id,job_title,match_percentage
50571,Unknown Title,0.0%
52953,Unknown Title,0.0%
55025,Unknown Title,0.0%
56411,Unknown Title,0.0%
57488,Unknown Title,0.0%
58004,Unknown Title,0.0%
58005,Unknown Title,0.0%
58392,Unknown Title,0.0%
58432,Unknown Title,0.0%
58649,Unknown Title,0.0%
58735,Unknown Title,0.0%
58739,Unknown Title,0.0%
58741,Unknown Title,0.0%
59019,Unknown Title,0.0%
59213,Unknown Title,0.0%
59386,Unknown Title,0.0%
60214,Unknown Title,0.0%
60463,Unknown Title,0.0%
60807,Unknown Title,0.0%
60828,Unknown Title,0.0%
60955,Unknown Title,0.0%
61071,Unknown Title,0.0%
61127,Unknown Title,0.0%
61381,Unknown Title,0.0%
61691,Unknown Title,0.0%
61907,Unknown Title,0.0%
61951,Unknown Title,0.0%
61964,Unknown Title,0.0%
62118,Unknown Title,0.0%
62159,Unknown Title,0.0%
62177,Unknown Title,0.0%
62204,Unknown Title,0.0%
62351,Unknown Title,0.0%
62457,Unknown Title,0.0%
62577,Unknown Title,0.0%
62800,Unknown Title,0.0%
62902,Unknown Title,0.0%
62971,Unknown Title,0.0%
62999,Unknown Title,0.0%
63028,Unknown Title,0.0%
63084,Unknown Title,0.0%
63144,Unknown Title,0.0%
63183,Unknown Title,0.0%
63232,Unknown Title,0.0%
63271,Unknown Title,0.0%
63493,Unknown Title,0.0%
63506,Unknown Title,0.0%
63507,Unknown Title,0.0%
63587,Unknown Title,0.0%
63616,Unknown Title,0.0%
63625,Unknown Title,0.0%
63626,Unknown Title,0.0%
63629,Unknown Title,0.0%
63631,Unknown Title,0.0%
63674,Unknown Title,0.0%
63715,Unknown Title,0.0%
63799,Unknown Title,0.0%
63818,Unknown Title,0.0%
63819,Unknown Title,0.0%
63853,Unknown Title,0.0%
63899,Unknown Title,0.0%
63955,Unknown Title,0.0%
64006,Unknown Title,0.0%
64017,Unknown Title,0.0%
64045,Unknown Title,0.0%
64046,Unknown Title,0.0%
64048,Unknown Title,0.0%
64050,Unknown Title,0.0%
64214,Unknown Title,0.0%
64222,Unknown Title,0.0%
64223,Unknown Title,0.0%
64226,Unknown Title,0.0%
64227,Unknown Title,0.0%
64228,Unknown Title,0.0%
64229,Unknown Title,0.0%
64230,Unknown Title,0.0%
64231,Unknown Title,0.0%
64232,Unknown Title,0.0%
64239,Unknown Title,0.0%
64241,Unknown Title,0.0%
64244,Unknown Title,0.0%
64249,Unknown Title,0.0%
64250,Unknown Title,0.0%
64251,Unknown Title,0.0%
64252,Unknown Title,0.0%
64253,Unknown Title,0.0%
64254,Unknown Title,0.0%
64255,Unknown Title,0.0%
64256,Unknown Title,0.0%
64257,Unknown Title,0.0%
64264,Unknown Title,0.0%
64266,Unknown Title,0.0%
64267,Unknown Title,0.0%
64269,Unknown Title,0.0%
64270,Unknown Title,0.0%
64290,Unknown Title,0.0%
64293,Unknown Title,0.0%
64326,Unknown Title,0.0%
64331,Unknown Title,0.0%
